timestamp_ns,elapsed_realtime_ns,latitude,longitude,altitude,speed_mps,bearing_deg,accuracy_m,bearing_accuracy_deg
125327209358081,125327170080790,10.8295493,77.0483514,255.2069091796875,11.48,268.4,3.7900925,0.56964815
125328214623966,125328169629487,10.82954356,77.0482456,255.3831787109375,11.64,266.8,3.7900925,0.7966024
125329195609331,125329170227976,10.82953959,77.04814061,255.041748046875,11.7,265.6,3.7900925,1.0397704
125330190082299,125330169950164,10.82953017,77.048035,254.34539794921875,11.49,265.1,3.7900925,1.2879107
125331189474590,125331170203341,10.82952168,77.04793474,254.96514892578125,11.14,262.6,3.7900925,1.5405494
125332203192298,125332169600371,10.82950911,77.0478388,255.1878662109375,10.81,262.6,3.7900925,1.7868714
125333196083808,125333170002037,10.82948828,77.04773935,255.2325439453125,10.63,259.7,3.7900925,2.0263472
125334206057975,125334170313340,10.82946112,77.04765245,255.123779296875,10.06,260.6,3.7900925,2.2645254
125335193581672,125335169619485,10.82944131,77.04756833,255.3724365234375,9.44,259.3,3.7900925,2.5117369
125336208973807,125336169895578,10.8294199,77.04748136,255.530029296875,9.28,260.8,3.7900925,2.7184424
125337210398651,125337170074952,10.82940642,77.04739487,255.2799072265625,9.78,264.1,3.7900925,1.2357324
125338187426463,125338169669901,10.82940125,77.04730441,255.47552490234375,9.91,267.7,3.7900925,0.89514554
125339192217764,125339169580473,10.82940454,77.04721779,255.39312744140625,9.69,274.8,3.7900925,1.9196355
125342194099012,125342169760263,10.82944502,77.04693937,254.2420654296875,10.39,279.7,3.7900925,0.39366987
125343194809324,125343170212085,10.82946155,77.04685269,254.65594482421875,9.61,282.2,3.7900925,2.2409463
125344198903178,125344170536824,10.82948572,77.04675512,254.931884765625,10.87,286.6,3.7900925,2.1893415
125345195407865,125345169595521,10.82950853,77.04666029,254.8785400390625,10.69,284.3,3.7900925,0.62226975
125346201509948,125346170029844,10.82953164,77.04656609,254.9971923828125,10.7,283.6,3.7900925,0.44775695
125347192506562,125347170454896,10.82955505,77.04647178,255.1624755859375,10.18,283.6,3.7900925,2.2916582
125348190688072,125348169861302,10.8295665,77.0463865,254.7974853515625,9.06,280.0,3.7900925,2.4272466
125349210087083,125349170041354,10.82958436,77.04630437,255.2510986328125,8.69,282.5,3.7900925,0.2771129
125350200406770,125350169948853,10.82960773,77.04622485,255.87542724609375,9.03,284.1,3.7900925,0.5082468
125351202874738,125351170332967,10.82963069,77.04614695,256.1685791015625,8.95,282.2,3.7900925,0.77548987
125352214886925,125352169889685,10.82965168,77.04607053,256.947509765625,8.86,277.1,3.7900925,1.0480626
125353200681560,125353170129216,10.82965854,77.04599008,257.39739990234375,8.87,268.7,3.7900925,1.3196355
125354195559789,125354169976560,10.82965652,77.04590323,257.266845703125,9.02,267.5,3.7900925,1.5838238
125355215264945,125355170336143,10.82965444,77.04581797,257.2027587890625,9.05,266.2,3.7900925,1.8429052
125356192174215,125356169962965,10.82965341,77.04573652,257.0233154296875,9.14,264.4,3.7900925,2.0826166
125357199444684,125357169966090,10.82965632,77.04565214,257.12939453125,9.13,264.1,3.7900925,2.2985623
125358213131662,125358170436870,10.82965772,77.04556704,256.9989013671875,9.19,266.0,3.7900925,2.4963756
125359195076141,125359169893381,10.82965965,77.04548435,256.8780517578125,9.22,267.7,3.7900925,2.6728637
125360220895724,125360170506557,10.82965678,77.04539645,256.751953125,9.23,267.1,3.7900925,2.8307106
125361214668693,125361169781818,10.82965858,77.04531516,257.505615234375,9.27,268.8,3.7900925,2.972081
125362197071088,125362170487181,10.82966141,77.04522994,257.9271240234375,9.32,269.2,3.7900925,3.086343
125363220615358,125363170440047,10.82966617,77.04514323,258.294189453125,9.41,271.5,3.7900925,3.2108514
125364194308848,125364170069941,10.82967066,77.0450542,258.864990234375,9.47,272.9,3.7900925,3.2504282
125365185240358,125365170407077,10.8296828,77.04497055,259.131591796875,9.42,273.6,3.7900925,3.3198643
125366193514264,125366169847753,10.82968913,77.0448843,259.7039794921875,9.49,273.5,3.7900925,3.3432574
125367212094211,125367170320983,10.82969861,77.04479762,259.77374267578125,9.54,276.4,3.7900925,3.3715231
125368198618638,125368169779732,10.8297069,77.04471031,260.14453125,9.63,276.9,3.7900925,0.5085116
125369209529523,125369170005512,10.82971482,77.04462082,260.9305419921875,9.66,277.7,3.7900925,0.4048783
125370216756970,125370170515512,10.82972967,77.04453665,261.1142578125,9.66,280.2,3.7900925,0.59972817
125371197897387,125371170180876,10.82974636,77.04445201,261.200439453125,9.6,280.9,3.7900925,0.7996707
125372318899834,125372169799469,10.82976139,77.04436865,261.16802978515625,9.64,280.3,3.7900925,0.999774
125375194592124,125375170127124,10.829806,77.04411261,262.3162841796875,9.62,281.7,3.7900925,1.5829726
125376198952176,125376169628686,10.82982199,77.04402732,262.755126953125,9.59,282.2,3.7900925,1.7674695
125377196986030,125377170027540,10.82983921,77.04394167,262.830078125,9.52,283.1,3.7900925,1.9368643
125378194573946,125378169636238,10.82985638,77.04385651,263.1947021484375,9.46,284.4,3.7900925,2.1018248
125379200802435,125379170077852,10.8298765,77.04377002,263.7493896484375,9.47,284.2,3.7900925,2.2476823
125380195506706,125380170559049,10.82989488,77.04368137,264.080322265625,9.54,285.7,3.7900925,2.3791752
125381204030299,125381169787279,10.82991711,77.0435935,264.2152099609375,9.62,284.8,3.7900925,2.499004
125382201359622,125382170274673,10.82994182,77.04350675,264.7772216796875,9.67,284.7,3.7900925,2.597267
125383195309152,125383169944048,10.82996389,77.04342177,264.8819580078125,9.71,284.3,3.7900925,2.6872618
125384200175610,125384169903319,10.82998765,77.0433334,264.890869140625,9.81,283.7,3.7900925,2.7577028
125385204237693,125385170529463,10.83000621,77.04324323,265.22735595703125,9.81,284.1,3.7900925,2.814514
125386208293630,125386170140193,10.83002263,77.04315551,265.5220947265625,9.83,284.5,3.7900925,2.8554223
125387214036859,125387169775452,10.83003951,77.04306711,265.91650390625,9.83,284.0,3.7900925,2.9143033
125388206320661,125388169651391,10.8300581,77.04298175,266.17041015625,9.77,283.8,3.7900925,2.9556415
125389200468994,125389169616025,10.83007653,77.04289531,266.3348388671875,9.66,283.3,3.7900925,2.9899912
125390211108421,125390170131703,10.83009056,77.04281046,266.656982421875,9.52,282.1,3.7900925,3.0160434
125391204770243,125391170200139,10.83010869,77.04272837,266.8935546875,9.39,281.6,3.7900925,3.0326807
125392212626493,125392169646025,10.83012261,77.04264706,267.27789306640625,9.26,281.4,3.7900925,3.0747542
125393215054669,125393170324304,10.83013755,77.0425658,267.401611328125,9.16,281.4,3.7900925,3.1574974
125394203475711,125394169965294,10.83015158,77.04248234,267.576171875,9.13,281.9,3.7900925,3.1658118
125395201080033,125395169632378,10.83016917,77.04240512,268.0230712890625,9.08,283.3,3.7900925,3.1644382
125396213573783,125396169310450,10.83018635,77.04232438,268.07232666015625,9.0,282.9,3.7900925,3.1648939
125397184695814,125397168954824,10.83020686,77.0422447,268.3834228515625,8.97,282.4,3.7900925,3.1728137
125398199204928,125398169355709,10.83022551,77.04216223,268.0087890625,9.03,281.3,3.7900925,3.1844618
125399202615917,125399168982844,10.8302373,77.04208117,268.2969970703125,9.1,280.2,3.7900925,3.2054622
125400214794146,125400168611854,10.83025176,77.0419992,268.06671142578125,9.26,279.7,3.7900925,3.244775
125401195742114,125401168739667,10.83026812,77.0419134,267.618408203125,9.65,279.9,3.7900925,3.2893183
125402202210343,125402169212843,10.830286,77.0418225,267.2767333984375,10.11,279.7,3.7900925,3.22418
125403204353207,125403169180758,10.83029626,77.04172849,266.54345703125,10.6,278.2,3.7900925,4.905902
125404192590863,125404168766749,10.83030863,77.04162626,266.2147216796875,11.4,274.7,3.7900925,0.5171948
125405194827477,125405169105185,10.83031198,77.04151747,266.2022705078125,11.81,273.0,3.7900925,0.24275146
125408243162945,125408169002997,10.83032507,77.04118442,264.72271728515625,12.19,274.4,3.7900925,0.61428106
125409197889820,125409169438309,10.83033236,77.04107932,264.672119140625,11.67,276.1,3.7900925,0.7601324
125410197592371,125410169097215,10.83034155,77.04097503,264.457763671875,11.5,279.5,3.7900925,0.9063993
125411191066798,125411168595184,10.83035263,77.04086969,265.566650390625,11.49,281.6,3.7900925,1.0527891
125412200813985,125412169138673,10.83036564,77.04076569,265.7562255859375,11.58,282.6,3.7900925,1.1937406
125413194164089,125413169255703,10.83038475,77.04065582,265.7694091796875,11.79,283.4,3.7900925,1.3293555
125414192982891,125414169526380,10.83040804,77.04055213,266.190673828125,11.84,284.2,3.7900925,1.4642693
125415203727630,125415169067214,10.83043274,77.04044185,265.36920166015625,11.79,283.3,3.7900925,1.5925235
125416197797369,125416168636015,10.83045832,77.04033483,265.31121826171875,11.71,285.7,3.7900925,1.7160782
125417189274764,125417168925337,10.83048609,77.04023176,264.9071044921875,11.51,286.9,3.7900925,1.8563399
125418209131639,125418169556691,10.83051257,77.04012743,264.5965576171875,11.6,284.5,3.7900925,1.9632237
125419188947368,125419169505858,10.8305365,77.04002462,264.4952392578125,11.67,283.2,3.7900925,2.061992
125420199537263,125420169149347,10.83056178,77.03991647,264.15386962890625,11.82,281.9,3.7900925,2.1423278
125421192873253,125421169020283,10.83058225,77.03981134,263.893798828125,11.84,281.8,3.7900925,2.2083209
125422206106950,125422169129555,10.83060207,77.03970661,263.48065185546875,11.74,279.9,3.7900925,2.2749407
125423200555596,125423168595752,10.83062296,77.0396081,263.1873779296875,11.58,279.7,3.7900925,2.322186
125424192317626,125424168969553,10.8306378,77.03950067,262.96124267578125,11.42,276.1,3.7900925,2.3849633
125425213036428,125425169269033,10.83064361,77.03939507,262.83905029296875,11.49,275.0,3.7900925,2.4172645
125426209248407,125426168975854,10.83065038,77.03929012,262.22265625,11.59,273.2,3.7900925,2.457432
125427208256844,125427168995074,10.8306513,77.03918243,261.455322265625,11.77,270.0,3.7900925,2.489491
125428204643406,125428168644031,10.83064371,77.03907389,260.503662109375,11.75,266.3,3.7900925,2.5274503
125429208390697,125429169248509,10.830631,77.03896396,260.389892578125,11.77,263.6,3.7900925,2.538055
125430206754812,125430169183771,10.83061748,77.03885748,260.36102294921875,11.73,262.6,3.7900925,2.5355763
125431186001634,125431169182468,10.83060484,77.03875199,260.21038818359375,11.69,263.4,3.7900925,2.5269647
125432208116530,125432169437206,10.8305927,77.03864608,260.0457763671875,11.59,263.4,3.7900925,2.5168993
125433200792519,125433168644185,10.83058024,77.03854024,259.77496337890625,11.6,262.8,3.7900925,2.5103695
