sensor_type,timestamp_ns,sensor_time_ns,val_x,val_y,val_z
GYRO,110031700181243,110031697449108,0.0014647375,-0.0021305273,0.0010652636
ACCEL,110031702095826,110031699956035,0.08798691,-0.11851298,9.685144
GYRO,110031702566399,110031699956035,-6.6578976E-4,-0.0021305273,-0.0
ACCEL,110031704622076,110031702462962,0.08559271,-0.11611878,9.687539
GYRO,110031705163222,110031702462962,3.9947388E-4,-0.0021305273,-0.0010652636
GYRO,110031707047909,110031704969889,3.9947388E-4,-0.0021305273,-0.0
ACCEL,110031707628586,110031704969889,0.08559271,-0.11372458,9.706693
GYRO,110031709680826,110031707476816,-6.6578976E-4,-0.0021305273,-0.0010652636
ACCEL,110031710226399,110031707476816,0.078410104,-0.11851298,9.69951
ACCEL,110031712042493,110031709983743,0.08080431,-0.11372458,9.718663
GYRO,110031712240565,110031709983743,3.9947388E-4,-0.003195791,-0.0
ACCEL,110031714631190,110031712490670,0.0712275,-0.11372458,9.6923275
GYRO,110031714907961,110031712490670,3.9947388E-4,-0.003195791,-0.0010652636
ACCEL,110031717277493,110031714997597,0.061650693,-0.108936176,9.697116
GYRO,110031717962440,110031714997597,3.9947388E-4,-0.0021305273,-0.0010652636
GYRO,110031719601243,110031717504524,3.9947388E-4,-0.0021305273,-0.0010652636
ACCEL,110031720694420,110031717504524,0.08080431,-0.108936176,9.689933
ACCEL,110031722145513,110031720011451,0.08319851,-0.11851298,9.685144
GYRO,110031722563326,110031720011451,3.9947388E-4,-0.0010652636,-0.0
ACCEL,110031724539472,110031722518378,0.078410104,-0.10654198,9.685144
GYRO,110031724981034,110031722518378,3.9947388E-4,-0.0,-0.0
ACCEL,110031727106555,110031725025306,0.078410104,-0.12808979,9.687539
GYRO,110031727515618,110031725025306,3.9947388E-4,-0.0,-0.0
ACCEL,110031729670097,110031727532233,0.06404489,-0.11133038,9.701904
GYRO,110031730082024,110031727532233,3.9947388E-4,-0.0,-0.0
ACCEL,110031732155409,110031730039160,0.08080431,-0.11851298,9.704298
GYRO,110031732696868,110031730039160,3.9947388E-4,0.0010652636,0.0010652636
ACCEL,110031734811243,110031732546087,0.092775315,-0.12090719,9.713875
GYRO,110031735313430,110031732546087,3.9947388E-4,-0.0,-0.0
ACCEL,110031743381503,110031735053014,0.08798691,-0.1376666,9.725846
GYRO,110031745392857,110031735053014,3.9947388E-4,-0.0010652636,-0.0010652636
ACCEL,110031745454159,110031737559941,0.092775315,-0.12808979,9.721058
GYRO,110031745483013,110031737559941,3.9947388E-4,-0.0,-0.0010652636
ACCEL,110031745510618,110031740066868,0.08319851,-0.10654198,9.718663
GYRO,110031745529315,110031740066868,3.9947388E-4,-0.0010652636,-0.0010652636
ACCEL,110031745554315,110031742573795,0.08559271,-0.11133038,9.7162695
GYRO,110031745570149,110031742573795,0.0014647375,-0.0021305273,-0.0010652636
GYRO,110031747655513,110031745080722,3.9947388E-4,-0.0,-0.0021305273
ACCEL,110031747802857,110031745080722,0.08559271,-0.11611878,9.711481
ACCEL,110031749902805,110031747587649,0.078410104,-0.1352724,9.69951
GYRO,110031750036295,110031747587649,0.0014647375,-0.0010652636,-0.0021305273
GYRO,110031756671451,110031750094576,-6.6578976E-4,-0.0,-0.0010652636
ACCEL,110031757178690,110031750094576,0.09756372,-0.1352724,9.701904
ACCEL,110031757232180,110031752601503,0.09995792,-0.11372458,9.7162695
GYRO,110031757260357,110031752601503,-0.0017310535,0.0010652636,-0.0010652636
ACCEL,110031758696607,110031755108431,0.092775315,-0.09696517,9.706693
GYRO,110031758822493,110031755108431,-6.6578976E-4,-0.0,-0.0010652636
ACCEL,110031760728170,110031757615358,0.078410104,-0.11133038,9.697116
GYRO,110031761547180,110031757615358,0.0014647375,-0.0010652636,-0.0010652636
ACCEL,110031762232128,110031760122285,0.08080431,-0.1352724,9.689933
GYRO,110031762875253,110031760122285,0.0014647375,-0.0010652636,-0.0010652636
ACCEL,110031769267961,110031762629212,0.073621705,-0.11372458,9.685144
GYRO,110031769432753,110031762629212,3.9947388E-4,-0.0021305273,-0.0010652636
ACCEL,110031769494420,110031765136139,0.078410104,-0.12090719,9.68275
GYRO,110031769521763,110031765136139,3.9947388E-4,-0.0010652636,-0.0010652636
GYRO,110031770082597,110031767643066,3.9947388E-4,-0.0,-0.0
ACCEL,110031770200722,110031767643066,0.08798691,-0.10654198,9.685144
ACCEL,110031772460149,110031770149993,0.08559271,-0.09935937,9.6923275
GYRO,110031772632180,110031770149993,-6.6578976E-4,-0.0,-0.0
ACCEL,110031775117493,110031772656920,0.08080431,-0.10175357,9.680356
GYRO,110031775225878,110031772656920,-6.6578976E-4,0.0010652636,0.0010652636
ACCEL,110031777372857,110031775163847,0.08798691,-0.11372458,9.69951
GYRO,110031777496243,110031775163847,-6.6578976E-4,0.0021305273,-0.0
ACCEL,110031779977701,110031777670774,0.090381116,-0.1328782,9.701904
GYRO,110031780126034,110031777670774,-0.0017310535,0.0042610546,-0.0010652636
GYRO,110031782493378,110031780177701,-6.6578976E-4,0.0042610546,0.0010652636
ACCEL,110031785476086,110031780177701,0.076015905,-0.11611878,9.704298
ACCEL,110031785799472,110031782684628,0.0688333,-0.10175357,9.713875
GYRO,110031785897128,110031782684628,-6.6578976E-4,0.003195791,-0.0010652636
ACCEL,110031787505826,110031785191556,0.05686229,-0.11372458,9.721058
GYRO,110031787700982,110031785191556,-0.0017310535,0.0021305273,-0.0010652636
