timestamp_s,east_m,north_m,speed_mps,bearing_deg,accuracy_m
176.11,-1083.6866045033935,133.88506477212164,10.7,283.6,3.7900925
177.101,-1093.9982137285936,136.49105405149405,10.18,283.6,3.7900925
178.099,-1103.3225063238328,137.76566222112461,9.06,280.0,3.7900925
179.119,-1112.3023861418908,139.7538283265945,8.69,282.5,3.7900925
180.109,-1120.9968953725052,142.35536482639546,9.03,284.1,3.7900925
181.111,-1129.514278032514,144.91126033510227,8.95,282.2,3.7900925
182.123,-1137.8698413553157,147.2478564467732,8.86,277.1,3.7900925
183.109,-1146.666034358691,148.01150815363212,8.87,268.7,3.7900925
184.104,-1156.161986656558,147.7866427823532,9.02,267.5,3.7900925
185.124,-1165.4840925037718,147.55509824145156,9.05,266.2,3.7900925
186.101,-1174.3896228959118,147.44043916602638,9.14,264.4,3.7900925
187.108,-1183.6155118411239,147.76437888414193,9.13,264.1,3.7900925
188.122,-1192.9201237069142,147.92022617126682,9.19,266.0,3.7900925
189.103,-1201.9612324627358,148.13507278837724,9.22,267.7,3.7900925
190.129,-1211.571989020127,147.81558585001017,9.23,267.1,3.7900925
191.123,-1220.4600254294526,148.0159609333806,9.27,268.8,3.7900925
192.105,-1229.777757782006,148.33099509217624,9.32,269.2,3.7900925
193.129,-1239.2584028464753,148.86087586843632,9.41,271.5,3.7900925
194.103,-1248.9927106527111,149.3607003820138,9.47,272.9,3.7900925
195.094,-1258.138783302637,150.71211900044673,9.42,273.6,3.7900925
196.102,-1267.569133165298,151.41677137696612,9.49,273.5,3.7900925
197.121,-1277.0464981070331,152.47208014973782,9.54,276.4,3.7900925
198.107,-1286.5927456039267,153.39491872844448,9.63,276.9,3.7900925
199.118,-1296.377348609189,154.27656909545144,9.66,277.7,3.7900925
200.125,-1305.5802767036091,155.92966353378864,9.66,280.2,3.7900925
201.106,-1314.834593368982,157.78758583506772,9.6,280.9,3.7900925
202.227,-1323.948958177404,159.46071778174195,9.64,280.3,3.7900925
205.103,-1351.943703441988,164.4266802660222,9.62,281.7,3.7900925
206.107,-1361.2690894119357,166.20667892365032,9.59,282.2,3.7900925
207.105,-1370.6338368421725,168.12360055526895,9.52,283.1,3.7900925
208.103,-1379.9450089506488,170.0349562122905,9.46,284.4,3.7900925
209.109,-1389.4015997868355,172.27470436682202,9.47,284.2,3.7900925
210.104,-1399.094359386148,174.3207566076058,9.54,285.7,3.7900925
211.112,-1408.7018358208052,176.79538888811587,9.62,284.8,3.7900925
212.11,-1418.1868543785438,179.54609350559605,9.67,284.7,3.7900925
213.104,-1427.4783457589622,182.00291466746626,9.71,284.3,3.7900925
